"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"11","13",4.14471868035029,0,0.0012,"Yes","a","b"
"10","13",3.89299573750832,1e-04,0.0018,"Yes","a","b"
"11","12",2.76525417107192,0.0057,0.0683,"No","a","ab"
"10","12",2.57277415176866,0.0101,0.0908,"No","a","ab"
"11","8.2",2.00517869121157,0.0449,0.2697,"No","a","ab"
"13","7",-1.93137559847525,0.0534,0.2748,"No","b","ab"
"12","9",-1.86984125163242,0.0615,0.2768,"No","ab","ab"
"10","8.2",1.74389155942775,0.0812,0.2922,"No","a","ab"
"11","7",1.69589506162972,0.0899,0.2942,"No","a","ab"
"13","9",-2.01934020851735,0.0435,0.3129,"No","b","ab"
"12","7",-1.74810376576071,0.0804,0.3218,"No","ab","ab"
"12","6",-1.58754158631775,0.1124,0.3372,"No","ab","ab"
"11","8.1",1.49896130792283,0.1339,0.3708,"No","a","ab"
"13","6",-1.42695040136375,0.1536,0.395,"No","b","ab"
"10","7",1.34936912579144,0.1772,0.4253,"No","a","ab"
"10","8.1",1.29050219768818,0.1969,0.443,"No","a","ab"
"11","9",1.14872880332038,0.2507,0.5308,"No","a","ab"
"12","8.2",-1.100695930551,0.271,0.5421,"No","ab","ab"
"11","6",0.999891886047579,0.3174,0.6013,"No","a","ab"
"12","8.1",-0.953230637699318,0.3405,0.6129,"No","ab","ab"
"8.2","9",-0.888444333277743,0.3743,0.6417,"No","ab","ab"
"7","8.2",0.687814272233771,0.4916,0.6554,"No","ab","ab"
"6","8.2",0.649403250472756,0.5161,0.6635,"No","ab","ab"
"8.1","9",-0.70237691685685,0.4824,0.668,"No","ab","ab"
"10","9",0.823972728537275,0.41,0.6708,"No","a","ab"
"12","13",-0.716180883516907,0.4739,0.6824,"No","ab","b"
"7","8.1",0.52872703690305,0.597,0.6933,"No","ab","ab"
"13","8.2",-0.726432961604061,0.4676,0.7014,"No","b","ab"
"10","11",-0.489375246712524,0.6246,0.7026,"No","a","a"
"6","8.1",0.543329740771851,0.5869,0.7043,"No","ab","ab"
"10","6",0.745836612881372,0.4558,0.7134,"No","a","ab"
"13","8.1",-0.544824721203046,0.5859,0.7273,"No","b","ab"
"7","9",-0.303888710465441,0.7612,0.8304,"No","ab","ab"
"6","9",-0.109599324870239,0.9127,0.9388,"No","ab","ab"
"6","7",0.123997481326741,0.9013,0.9543,"No","ab","ab"
"8.1","8.2",0,1,1,"No","ab","ab"
