"group","metric","n_sites","moran_I","expected_I","variance","z","p_value","p_fdr_all","sig_p05","sig_fdr05"
"indices","chlordane_index",74,0.369608460804555,-0.0136986301369863,0.00241346708018268,7.80236321712435,3.03792351055697e-15,8.80997818061521e-14,TRUE,TRUE
"indices","ddt_index",74,0.351990898908383,-0.0136986301369863,0.00235699445471246,7.53239774674886,2.49084673922795e-14,3.61172777188053e-13,TRUE,TRUE
"indices","pcb_index",74,0.313209740831237,-0.0136986301369863,0.00232111137620863,6.78544057469835,5.78663908891108e-12,5.59375111928071e-11,TRUE,TRUE
"indices","total_con_index",74,0.248626756304365,-0.0136986301369863,0.0021960390198689,5.59783760184626,1.08520957742613e-08,7.86776943633944e-08,TRUE,TRUE
"indices","pbde_index",74,0.248041831275737,-0.0136986301369863,0.00223024173931426,5.54236207136431,1.49209223748725e-08,8.65413497742606e-08,TRUE,TRUE
"indices","pah_hmw_index",74,0.215337129948113,-0.0136986301369863,0.00201409984306755,5.1034374661636,1.66769380249451e-07,8.06052004539013e-07,TRUE,TRUE
"indices","pesticide_index",74,0.154466597371061,-0.0136986301369863,0.00110589334147243,5.05684424925421,2.13125539758523e-07,8.82948664713882e-07,TRUE,TRUE
"indices","hch_index",74,0.177389109370628,-0.0136986301369863,0.00185363693067007,4.43833915991102,4.53278452597101e-06,1.64313439066449e-05,TRUE,TRUE
"biomarkers","p450",74,0.164864217611903,-0.0136986301369863,0.00257165404727622,3.52115247243171,0.000214837737844071,0.000692254933053117,TRUE,TRUE
"indices","heavy_metal_index",74,0.15558905147587,-0.0136986301369863,0.00251743377950685,3.37400972244938,0.000370408755790675,0.00107418539179296,TRUE,TRUE
"indices","total_pah_index",74,0.0816986359271472,-0.0136986301369863,0.00165544280503556,2.34465440663054,0.00952236152105802,0.0251044076464257,TRUE,TRUE
"morphometrics","weight_initial",74,0.0894412553545045,-0.0136986301369863,0.00255972118572669,2.0385919899233,0.0207453826675505,0.0501346747799137,TRUE,FALSE
"morphometrics","weight_final",74,0.0795729898043441,-0.0136986301369863,0.00253723413534973,1.8516941171936,0.0320348796279242,0.0714624237853694,TRUE,FALSE
"indices","total_metal_index",74,0.0747722112183615,-0.0136986301369863,0.00252474792218166,1.76072343912334,0.0391426117843973,0.0759421992703956,TRUE,FALSE
"morphometrics","shell",74,0.0740628452164297,-0.0136986301369863,0.00248901693883362,1.75909781611474,0.0392804478984805,0.0759421992703956,TRUE,FALSE
"morphometrics","weight_change",74,0.0536333709767241,-0.0136986301369863,0.00256971868278932,1.32824665517107,0.0920483180785034,0.166837576517287,FALSE,FALSE
"indices","pah_add_index",74,0.0246030569591555,-0.0136986301369863,0.00119992939411966,1.10570699717052,0.134426680225277,0.229316101560766,FALSE,FALSE
"indices","nutrient_metal_index",74,0.0253869117176508,-0.0136986301369863,0.00225756132662149,0.822614496751901,0.205363626070418,0.330863619780118,FALSE,FALSE
"indices","pah_lmw_index",74,0.0148686915138714,-0.0136986301369863,0.00144427443410697,0.751700194977168,0.226115686567564,0.345123942655756,FALSE,FALSE
"ibrs","ibr_combined",74,0.0181593510510422,-0.0136986301369863,0.00249307447182593,0.63804399499184,0.261722520845286,0.379497655225665,FALSE,FALSE
"morphometrics","height",74,0.0126695384494209,-0.0136986301369863,0.00252569904326443,0.524673545024778,0.299905075476939,0.414154628039583,FALSE,FALSE
"ibrs","ibr_morph",74,0.0108659011816237,-0.0136986301369863,0.00257618227019671,0.48397194700044,0.314202889171224,0.414176535725704,FALSE,FALSE
"ibrs","ibr_bio",74,0.00148835510705402,-0.0136986301369863,0.00248416514224864,0.304706233770302,0.38029495069997,0.4709571097592,FALSE,FALSE
"morphometrics","width",74,0.00042859369985932,-0.0136986301369863,0.00254653753497867,0.279950846732663,0.389757608076579,0.4709571097592,FALSE,FALSE
"biomarkers","sod",74,-0.0120945620095413,-0.0136986301369863,0.00248564862236247,0.0321738432574084,0.48716670771679,0.565113380951477,FALSE,FALSE
"conditions","ci3",74,-0.0157376336322244,-0.0136986301369863,0.00251677668406993,-0.0406439238766915,0.516210116560621,0.567617433739393,FALSE,FALSE
"conditions","ci2",74,-0.0172703663036325,-0.0136986301369863,0.00250047651894633,-0.0714279163061922,0.528471403826331,0.567617433739393,FALSE,FALSE
"morphometrics","length",74,-0.0552557640816454,-0.0136986301369863,0.00257644949011234,-0.818718816258659,0.793526570673017,0.821866805339911,FALSE,FALSE
"conditions","ci1",74,-0.0788682984472794,-0.0136986301369863,0.00241118646787304,-1.32718086589514,0.907775569861709,0.907775569861709,FALSE,FALSE
