"Comparison","Z","P.unadj","P.adj"
"10 - 11",-4.26966780376567,1.95764320048965e-05,0.000704751552176273
"11 - 12",4.11778315973403,3.82534368972817e-05,0.000688561864151071
"10 - 13",-2.6229836052151,0.0087163466811555,0.0261490400434665
"12 - 13",-3.3167212543133,0.000910804380509127,0.00546482628305476
"11 - 6",3.91168364311772,9.1654922674171e-05,0.00109985907209005
"13 - 6",3.11258276722788,0.00185458002962183,0.00953784015234083
"11 - 7",3.45235727100718,0.000555711388084277,0.0050014024927585
"11 - 8.1",3.34464482767266,0.000823880021061015,0.00593193615163931
"13 - 8.1",2.62639881618956,0.00862936443049772,0.0282415563179925
"12 - 8.2",-2.97549149869313,0.00292519457887737,0.0131633756049482
"6 - 8.2",-2.79780268702032,0.00514515330986069,0.0205806132394427
"8.1 - 8.2",-2.4183327616752,0.0155918109322782,0.0431773225816935
"11 - 9",2.6369383763884,0.00836580276437106,0.0301168899517358
