"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"4","5",-4.31651025878242,0,6e-04,"Yes","c","a"
"3","4",4.04032517161953,1e-04,0.001,"Yes","ab","c"
"4","6",-3.9070404610659,1e-04,0.0011,"Yes","c","ab"
"4","7",-3.75599867742325,2e-04,0.0016,"Yes","c","ab"
"1","4",3.294974378253,0.001,0.0071,"Yes","ab","c"
"2","4",2.78643358731282,0.0053,0.032,"Yes","ab","c"
"5","9",2.62874591578677,0.0086,0.0441,"Yes","a","bc"
"4","8",-2.42453368080091,0.0153,0.0613,"No","c","abc"
"4","9",-2.43369200239334,0.0149,0.0673,"No","c","bc"
"2","5",-2.31913465991445,0.0204,0.0734,"No","ab","a"
"1","5",-2.257687850266,0.024,0.0784,"No","ab","a"
"6","9",2.18787691264578,0.0287,0.0794,"No","ab","bc"
"3","9",2.21248283197984,0.0269,0.0808,"No","ab","bc"
"7","9",2.02033020336545,0.0433,0.1115,"No","ab","bc"
"2","6",-1.9064110970577,0.0566,0.1358,"No","ab","ab"
"2","3",-1.87451063047908,0.0609,0.1369,"No","ab","ab"
"1","3",-1.71491569160583,0.0864,0.1636,"No","ab","ab"
"1","6",-1.718221329881,0.0858,0.1715,"No","ab","ab"
"2","7",-1.74119064378758,0.0817,0.1729,"No","ab","ab"
"1","7",-1.53591988537336,0.1246,0.2242,"No","ab","ab"
"5","8",1.43251642272766,0.152,0.2606,"No","a","abc"
"6","8",1.34924584529855,0.1773,0.2901,"No","ab","abc"
"7","8",1.24637724155912,0.2126,0.3328,"No","ab","abc"
"3","8",1.12453178802749,0.2608,0.3912,"No","ab","abc"
"1","9",0.99303541237236,0.3207,0.4618,"No","ab","bc"
"3","5",-0.499109210288768,0.6177,0.7942,"No","ab","a"
"3","7",-0.398574386799778,0.6902,0.8015,"No","ab","ab"
"2","9",0.425140451567765,0.6707,0.8049,"No","ab","bc"
"3","6",-0.514228314030437,0.6071,0.8095,"No","ab","ab"
"1","2",0.536537613803318,0.5916,0.8191,"No","ab","ab"
"8","9",0.437587627040757,0.6617,0.8214,"No","abc","bc"
"2","8",-0.13550251589433,0.8922,0.9447,"No","ab","abc"
"1","8",0.194054315852597,0.8461,0.9519,"No","ab","abc"
"5","7",-0.0472000604161167,0.9624,0.9624,"No","a","ab"
"5","6",-0.146503942777483,0.8835,0.9638,"No","a","ab"
"6","7",0.0781917399776154,0.9377,0.9645,"No","ab","ab"
