"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"12","13",-4.47626666427982,0,3e-04,"Yes","c","b"
"12","8.2",-4.13407414463995,0,6e-04,"Yes","c","b"
"11","12",3.73665320075117,2e-04,0.0022,"Yes","ab","c"
"10","13",-3.61987065308012,3e-04,0.0027,"Yes","a","b"
"13","7",2.92282823809568,0.0035,0.025,"Yes","b","a"
"10","8.2",-2.78650124018677,0.0053,0.0274,"Yes","a","b"
"12","9",-2.79250784802658,0.0052,0.0314,"Yes","c","ab"
"10","12",2.68039923666525,0.0074,0.0331,"Yes","a","c"
"12","7",-2.57426517973536,0.01,0.0402,"Yes","c","a"
"12","6",-2.52336288926183,0.0116,0.0418,"Yes","c","ab"
"7","8.2",-2.48114350830192,0.0131,0.0429,"Yes","a","b"
"10","11",-2.18516398785416,0.0289,0.08,"No","a","ab"
"12","8.1",-2.21309408378045,0.0269,0.0807,"No","c","abc"
"13","9",2.09684142104831,0.036,0.0926,"No","b","ab"
"8.2","9",1.92874870784712,0.0538,0.129,"No","b","ab"
"13","6",1.83268347519431,0.0668,0.1504,"No","b","ab"
"6","8.2",-1.78496731347181,0.0743,0.1573,"No","ab","b"
"11","7",1.70977706279545,0.0873,0.1746,"No","ab","a"
"11","13",-1.45434330309745,0.1459,0.2763,"No","ab","b"
"11","8.2",-1.34897163371805,0.1773,0.304,"No","ab","b"
"8.1","8.2",-1.36670542067795,0.1717,0.3091,"No","abc","b"
"13","8.1",1.28836007305525,0.1976,0.3234,"No","b","abc"
"11","9",0.995400949028841,0.3195,0.5002,"No","ab","ab"
"11","6",0.906589102115026,0.3646,0.5469,"No","ab","ab"
"11","8.1",0.588898028363377,0.5559,0.7697,"No","ab","abc"
"10","9",-0.608963729420564,0.5425,0.7813,"No","a","ab"
"6","7",0.333243725628755,0.739,0.8313,"No","ab","a"
"7","9",-0.475226266022993,0.6346,0.8462,"No","a","ab"
"7","8.1",-0.339242097488216,0.7344,0.8529,"No","a","abc"
"10","8.1",-0.40053623046121,0.6888,0.855,"No","a","abc"
"10","6",-0.423015215272182,0.6723,0.8644,"No","a","ab"
"13","8.2",-0.346132375551704,0.7292,0.8751,"No","b","b"
"6","9",-0.068935299100073,0.945,0.972,"No","ab","ab"
"8.1","9",0.0263633154913575,0.979,0.979,"No","abc","ab"
"6","8.1",-0.0752000962561848,0.9401,0.9954,"No","ab","abc"
"10","7",-0.0825501529341563,0.9342,1,"No","a","a"
