"","Variable1","Variable2","Correlation","Region"
"1","site_number","site_number",1,"North"
"2","p450","site_number",0.0824416860043503,"North"
"3","SOD","site_number",-0.183831849869536,"North"
"4","condition_factor","site_number",-0.321050579506751,"North"
"5","avg_thickness","site_number",0.191113205464278,"North"
"6","site_number","p450",0.0824416860043503,"North"
"7","p450","p450",1,"North"
"8","SOD","p450",-0.262796525424682,"North"
"9","condition_factor","p450",0.076464166606826,"North"
"10","avg_thickness","p450",0.366238667326094,"North"
"11","site_number","SOD",-0.183831849869536,"North"
"12","p450","SOD",-0.262796525424682,"North"
"13","SOD","SOD",1,"North"
"14","condition_factor","SOD",-0.0480904416438932,"North"
"15","avg_thickness","SOD",-0.409400320178895,"North"
"16","site_number","condition_factor",-0.321050579506751,"North"
"17","p450","condition_factor",0.076464166606826,"North"
"18","SOD","condition_factor",-0.0480904416438932,"North"
"19","condition_factor","condition_factor",1,"North"
"20","avg_thickness","condition_factor",0.172808028322754,"North"
"21","site_number","avg_thickness",0.191113205464278,"North"
"22","p450","avg_thickness",0.366238667326094,"North"
"23","SOD","avg_thickness",-0.409400320178895,"North"
"24","condition_factor","avg_thickness",0.172808028322754,"North"
"25","avg_thickness","avg_thickness",1,"North"
"26","site_number","site_number",1,"Central"
"27","p450","site_number",-0.0722493652150887,"Central"
"28","SOD","site_number",-0.073685970668765,"Central"
"29","condition_factor","site_number",-0.0292187874667868,"Central"
"30","avg_thickness","site_number",-0.00528198805571306,"Central"
"31","site_number","p450",-0.0722493652150887,"Central"
"32","p450","p450",1,"Central"
"33","SOD","p450",-0.210514207709311,"Central"
"34","condition_factor","p450",-0.0438945112436873,"Central"
"35","avg_thickness","p450",0.0828012775935432,"Central"
"36","site_number","SOD",-0.073685970668765,"Central"
"37","p450","SOD",-0.210514207709311,"Central"
"38","SOD","SOD",1,"Central"
"39","condition_factor","SOD",-0.13044438761903,"Central"
"40","avg_thickness","SOD",0.152173917188909,"Central"
"41","site_number","condition_factor",-0.0292187874667868,"Central"
"42","p450","condition_factor",-0.0438945112436873,"Central"
"43","SOD","condition_factor",-0.13044438761903,"Central"
"44","condition_factor","condition_factor",1,"Central"
"45","avg_thickness","condition_factor",0.147703524987932,"Central"
"46","site_number","avg_thickness",-0.00528198805571306,"Central"
"47","p450","avg_thickness",0.0828012775935432,"Central"
"48","SOD","avg_thickness",0.152173917188909,"Central"
"49","condition_factor","avg_thickness",0.147703524987932,"Central"
"50","avg_thickness","avg_thickness",1,"Central"
"51","site_number","site_number",1,"South"
"52","p450","site_number",0.133091130126733,"South"
"53","SOD","site_number",-0.0230366745243642,"South"
"54","condition_factor","site_number",0.103182730919074,"South"
"55","avg_thickness","site_number",-0.019385525793939,"South"
"56","site_number","p450",0.133091130126733,"South"
"57","p450","p450",1,"South"
"58","SOD","p450",-0.238568868964751,"South"
"59","condition_factor","p450",0.0637215587416639,"South"
"60","avg_thickness","p450",0.0306683300330169,"South"
"61","site_number","SOD",-0.0230366745243642,"South"
"62","p450","SOD",-0.238568868964751,"South"
"63","SOD","SOD",1,"South"
"64","condition_factor","SOD",-0.0861797383560874,"South"
"65","avg_thickness","SOD",0.099515091586991,"South"
"66","site_number","condition_factor",0.103182730919074,"South"
"67","p450","condition_factor",0.0637215587416639,"South"
"68","SOD","condition_factor",-0.0861797383560874,"South"
"69","condition_factor","condition_factor",1,"South"
"70","avg_thickness","condition_factor",0.112437350008264,"South"
"71","site_number","avg_thickness",-0.019385525793939,"South"
"72","p450","avg_thickness",0.0306683300330169,"South"
"73","SOD","avg_thickness",0.099515091586991,"South"
"74","condition_factor","avg_thickness",0.112437350008264,"South"
"75","avg_thickness","avg_thickness",1,"South"
