"variable","statistic","p.value","method"
"p450",0.985321231728467,0.548838238797174,"Shapiro-Wilk normality test"
"sod",0.845526860399051,2.69798984193747e-07,"Shapiro-Wilk normality test"
"shell",0.945552392539382,0.00310151222827872,"Shapiro-Wilk normality test"
"ci1",0.868617733688055,1.59286893821164e-06,"Shapiro-Wilk normality test"
"ci2",0.930876133725362,0.000562013403988361,"Shapiro-Wilk normality test"
"ci3",0.971828553549311,0.0969029981733612,"Shapiro-Wilk normality test"
"length",0.98623666962422,0.603802641363513,"Shapiro-Wilk normality test"
"height",0.981192688569391,0.337994832021004,"Shapiro-Wilk normality test"
"width",0.992321394143191,0.93776200765541,"Shapiro-Wilk normality test"
"weight_change",0.973313899189801,0.118753846483565,"Shapiro-Wilk normality test"
"weight_initial",0.981474521372761,0.350117170699028,"Shapiro-Wilk normality test"
"weight_final",0.984674681405765,0.511446227903472,"Shapiro-Wilk normality test"
"ibr_bio",0.840575777457295,1.88228966336664e-07,"Shapiro-Wilk normality test"
"ibr_morph",0.980278955811011,0.301032570827524,"Shapiro-Wilk normality test"
"ibr_combined",0.86450371704063,1.14645939376472e-06,"Shapiro-Wilk normality test"
"chlordane_index",0.467866694541404,6.29589527362271e-15,"Shapiro-Wilk normality test"
"ddt_index",0.633664920567218,2.68475733158125e-12,"Shapiro-Wilk normality test"
"hch_index",0.367226247217995,3.03825385775244e-16,"Shapiro-Wilk normality test"
"heavy_metal_index",0.959709665752034,0.0187652770486202,"Shapiro-Wilk normality test"
"nutrient_metal_index",0.809402354519207,2.2489378802713e-08,"Shapiro-Wilk normality test"
"total_metal_index",0.96162556400472,0.0242100467187829,"Shapiro-Wilk normality test"
"pah_lmw_index",0.424308309242417,1.61692704216676e-15,"Shapiro-Wilk normality test"
"pah_hmw_index",0.424148007006404,1.60908489887294e-15,"Shapiro-Wilk normality test"
"pah_add_index",0.390974719332283,6.00618886700335e-16,"Shapiro-Wilk normality test"
"total_pah_index",0.435318922977184,2.26339244748642e-15,"Shapiro-Wilk normality test"
"pbde_index",0.630561343235212,2.35833463670602e-12,"Shapiro-Wilk normality test"
"pcb_index",0.66954516597613,1.27393948467746e-11,"Shapiro-Wilk normality test"
"pesticide_index",0.373187483068275,3.59864028977969e-16,"Shapiro-Wilk normality test"
