"Metric","Analyte","Spearman_r","Spearman_p","Kendall_tau","Kendall_p","Spearman_sig","Kendall_sig"
"sod","ddt_index",0.292761342772721,0.0113648071122117,0.200188572216589,0.0120164295080708,"*","*"
"length","pah_lmw_index",-0.268567197334321,0.0206868044264565,-0.186967789707516,0.0184380486610552,"*","*"
"weight_final","total_metal_index",-0.26394668641244,0.0230648208588567,-0.179563124768604,0.0236130732436684,"*","*"
"ibr_bio","ddt_index",-0.251875783593816,0.030398173245881,-0.182327881758603,0.0221624157840688,"*","*"
"ibr_combined","ddt_index",-0.251061035131917,0.0309568698608608,-0.183072077194353,0.0216239183099801,"*","*"
"height","total_metal_index",-0.244072565716401,0.0361129378099058,-0.160310995927434,0.0433111661900655,"*","*"
"weight_final","heavy_metal_index",-0.243035912624954,0.0369356065528018,-0.161791928915217,0.0414137427271354,"*","*"
"weight_final","nutrient_metal_index",-0.239718622732321,0.0396738162312542,-0.15142539800074,0.0563014375551512,"*",""
"ibr_bio","pcb_index",-0.235127730470196,0.0437396235024165,-0.149944465012958,0.0587541965918675,"*",""
"sod","pcb_index",0.229500185116623,0.0491873448530188,0.144020733061829,0.0694685482942726,"*",""
"ibr_morph","pah_hmw_index",0.225057386153277,0.0538715782766774,0.144020733061829,0.0694685482942726,"",""
"ibr_combined","pcb_index",-0.224701962236209,0.0542615515567437,-0.141058867086264,0.0753995070886732,"",""
"ci2","nutrient_metal_index",0.217711958533876,0.0624111268742044,0.149944465012958,0.0587541965918675,"",""
"length","total_pah_index",-0.211669751943725,0.0702297329166531,-0.143280266567938,0.070914139424982,"",""
"sod","hch_index",0.21164531755302,0.070262877930341,0.166750692688161,0.0706691803693827,"",""
"length","pah_hmw_index",-0.208826360607182,0.0741719125728119,-0.141799333580155,0.0738793310783324,"",""
"height","pah_hmw_index",-0.204946316179193,0.0798348115228368,-0.129951869677897,0.101416606314878,"",""
"shell","pah_hmw_index",0.200562754535357,0.0866408004760594,0.13217326915957,0.0957084739025924,"",""
"sod","total_pah_index",0.200236949278045,0.0871644186413131,0.13217326915957,0.0957084739025924,"",""
"sod","pah_lmw_index",0.196890040725657,0.0926893199275504,0.121066271751203,0.127004206096957,"",""
