"term","Group1","Group2","null.value","estimate","conf.low","conf.high","adj.p.value","Significant","Group1_CLD","Group2_CLD"
"site_number","2","1",0,-0.6613630181054,-3.05629238918633,1.73356635297553,1,"No","abc","abc"
"site_number","3","1",0,-1.24969552684294,-3.92730796436683,1.42791691068095,0.999968831739842,"No","abc","abc"
"site_number","7","1",0,0.771205034732086,-1.9064074027918,3.44881747225598,1,"No","ab","abc"
"site_number","8","1",0,-0.916514484831652,-3.59412692235554,1.76109795269224,0.99999999985159,"No","abc","abc"
"site_number","9","1",0,-0.44292490799149,-3.12053734551538,2.2346875295324,1,"No","abc","abc"
"site_number","10","1",0,-1.09986622081933,-3.77747865834322,1.57774621670456,0.999999652236048,"No","abc","abc"
"site_number","11","1",0,-0.390761198136744,-2.78569056921767,2.00416817294419,1,"No","abc","abc"
"site_number","12","1",0,-0.473199799840679,-3.15081223736457,2.20441263768321,1,"No","abc","abc"
"site_number","13","1",0,-0.281820137320727,-2.67674950840166,2.1131092337602,1,"No","abc","abc"
"site_number","14","1",0,0.884308030963872,-1.79330440656002,3.56192046848776,0.999999999972722,"No","ab","abc"
"site_number","15","1",0,-0.568286076685477,-3.24589851420937,2.10932636083841,1,"No","abc","abc"
"site_number","16","1",0,-0.268292760674676,-2.94590519819857,2.40931967684921,1,"No","abc","abc"
"site_number","17","1",0,-0.736466616099032,-3.41407905362292,1.94114582142486,1,"No","abc","abc"
"site_number","18","1",0,-0.892160947231471,-3.56977338475536,1.78545149029242,0.999999999958286,"No","abc","abc"
"site_number","19","1",0,-1.03285134667417,-3.54467446180643,1.47897176845808,0.999999637931433,"No","abc","abc"
"site_number","20","1",0,1.42415885403008,-1.25345358349381,4.10177129155396,0.998705039533843,"No","a","abc"
"site_number","21","1",0,0.61559429824526,-2.06201813927863,3.29320673576915,1,"No","ab","abc"
"site_number","22","1",0,0.526982761289651,-2.15062967623424,3.20459519881354,1,"No","ab","abc"
"site_number","23","1",0,-1.48881409424569,-4.16642653176958,1.1887983432782,0.996265719807289,"No","abc","abc"
"site_number","24","1",0,-0.185184841426451,-2.86279727895034,2.49242759609744,1,"No","abc","abc"
"site_number","25","1",0,-1.18460559112034,-3.86221802864423,1.49300684640355,0.999994760078263,"No","abc","abc"
"site_number","26","1",0,-0.922611276217368,-3.60022371374126,1.75500116130652,0.999999999798122,"No","abc","abc"
"site_number","27","1",0,0.250950168929831,-2.42666226859406,2.92856260645372,1,"No","abc","abc"
"site_number","28","1",0,0.386463847923688,-2.2911485896002,3.06407628544758,1,"No","abc","abc"
