"term","Group1","Group2","null.value","estimate","conf.low","conf.high","adj.p.value","Significant","Group1_CLD","Group2_CLD"
"site_number","2","1",0,-0.0707091128953089,-0.695979950743354,0.554561724952736,1,"No","a","a"
"site_number","3","1",0,0.15385574033315,-0.545218308555089,0.852929789221389,1,"No","a","a"
"site_number","7","1",0,0.038135163378872,-0.660938885509367,0.737209212267111,1,"No","a","a"
"site_number","8","1",0,0.00325497711768125,-0.695819071770558,0.70232902600592,1,"No","a","a"
"site_number","9","1",0,-0.14938193415215,-0.848455983040389,0.549692114736089,1,"No","a","a"
"site_number","10","1",0,-0.046521892165678,-0.745595941053917,0.652552156722561,1,"No","a","a"
"site_number","11","1",0,0.0281370194966067,-0.597133818351439,0.653407857344652,1,"No","a","a"
"site_number","12","1",0,0.155305946571973,-0.543768102316266,0.854379995460212,1,"No","a","a"
"site_number","13","1",0,0.0520700412523503,-0.573200796595695,0.677340879100396,1,"No","a","a"
"site_number","14","1",0,0.0044317316376031,-0.694642317250636,0.703505780525842,1,"No","a","a"
"site_number","15","1",0,-0.0669022806999579,-0.765976329588197,0.632171768188281,1,"No","a","a"
"site_number","16","1",0,0.0971577497218123,-0.601916299166427,0.796231798610051,1,"No","a","a"
"site_number","17","1",0,0.0136869866348583,-0.68538706225338,0.712761035523097,1,"No","a","a"
"site_number","18","1",0,-0.395120634011642,-1.09419468289988,0.303953414876597,0.994625545461801,"No","a","a"
"site_number","19","1",0,0.0610519423001029,-0.594737644937691,0.716841529537897,1,"No","a","a"
"site_number","20","1",0,0.130199217505409,-0.56887483138283,0.829273266393648,1,"No","a","a"
"site_number","21","1",0,-0.0394789330389771,-0.738552981927216,0.659595115849262,1,"No","a","a"
"site_number","22","1",0,0.214240434252082,-0.484833614636157,0.913314483140321,1,"No","a","a"
"site_number","23","1",0,0.239080230017382,-0.459993818870857,0.93815427890562,0.999999999857373,"No","a","a"
"site_number","24","1",0,-0.0279217210569998,-0.726995769945239,0.671152327831239,1,"No","a","a"
"site_number","25","1",0,0.0565210490853143,-0.642552999802925,0.755595097973553,1,"No","a","a"
"site_number","26","1",0,-0.158816282365378,-0.857890331253617,0.540257766522861,1,"No","a","a"
"site_number","27","1",0,-0.114457806607369,-0.813531855495608,0.58461624228087,1,"No","a","a"
"site_number","28","1",0,-0.118454651599921,-0.81752870048816,0.580619397288318,1,"No","a","a"
"site_number","29","1",0,0.163739373550167,-0.461531464297878,0.789010211398212,1,"No","a","a"
"site_number","30","1",0,-0.0662556735014221,-0.765329722389661,0.632818375386817,1,"No","a","a"
"site_number","31","1",0,-0.0902267030041001,-0.789300751892339,0.608847345884139,1,"No","a","a"
"site_number","32","1",0,-0.174181287722439,-0.873255336610677,0.5248927611658,1,"No","a","a"
"site_number","33","1",0,0.0844016700661062,-0.614672378822133,0.783475718954345,1,"No","a","a"
"site_number","34","1",0,0.0471166389651947,-0.651957409923044,0.746190687853434,1,"No","a","a"
"site_number","35","1",0,0.0214388385514533,-0.677635210336786,0.720512887439692,1,"No","a","a"
"site_number","36","1",0,0.0568830503914438,-0.642190998496795,0.755957099279683,1,"No","a","a"
"site_number","37","1",0,-0.349488609791144,-1.04856265867938,0.349585439097095,0.999752213994058,"No","a","a"
"site_number","38","1",0,-0.011180543858677,-0.710254592746916,0.687893505029562,1,"No","a","a"
"site_number","39","1",0,-0.0647686035319562,-0.763842652420195,0.634305445356283,1,"No","a","a"
"site_number","40","1",0,-0.197882361851262,-0.896956410739501,0.501191687036977,1,"No","a","a"
"site_number","41","1",0,0.0668255511219855,-0.632248497766253,0.765899600010224,1,"No","a","a"
"site_number","42","1",0,-0.281754535931746,-0.980828584819985,0.417319512956492,0.999999833564857,"No","a","a"
"site_number","43","1",0,-0.0530915662070497,-0.752165615095289,0.645982482681189,1,"No","a","a"
"site_number","44","1",0,0.0407185402375191,-0.65835550865072,0.739792589125758,1,"No","a","a"
"site_number","45","1",0,-0.223235515646982,-0.92230956453522,0.475838533241257,1,"No","a","a"
"site_number","46","1",0,-0.176339328612733,-0.832128915850527,0.479450258625061,1,"No","a","a"
"site_number","47","1",0,0.126396133622907,-0.572677915265332,0.825470182511146,1,"No","a","a"
"site_number","48","1",0,0.107827988720632,-0.591246060167607,0.80690203760887,1,"No","a","a"
"site_number","49","1",0,-0.158164905312201,-0.813954492549995,0.497624681925593,1,"No","a","a"
"site_number","50","1",0,-0.0372930718108836,-0.736367120699122,0.661780977077355,1,"No","a","a"
"site_number","51","1",0,0.0401437921877142,-0.658930256700525,0.739217841075953,1,"No","a","a"
"site_number","52","1",0,0.0279552718964171,-0.671118776991822,0.727029320784656,1,"No","a","a"
"site_number","53","1",0,-0.124541453322701,-0.82361550221094,0.574532595565538,1,"No","a","a"
"site_number","54","1",0,0.116918680727261,-0.582155368160978,0.8159927296155,1,"No","a","a"
"site_number","55","1",0,0.107147644181358,-0.591926404706881,0.806221693069597,1,"No","a","a"
"site_number","56","1",0,-0.139079910105422,-0.838153958993661,0.559994138782817,1,"No","a","a"
"site_number","57","1",0,-0.0190424006835178,-0.718116449571757,0.680031648204721,1,"No","a","a"
"site_number","58","1",0,-0.121151191541885,-0.820225240430124,0.577922857346354,1,"No","a","a"
"site_number","59","1",0,-0.0640774313884375,-0.763151480276676,0.634996617499801,1,"No","a","a"
"site_number","60","1",0,-0.29951339076879,-0.998587439657029,0.399560658119449,0.999998322609538,"No","a","a"
"site_number","61","1",0,-0.281599223990986,-0.93738881122878,0.374190363246808,0.999998180565804,"No","a","a"
"site_number","62","1",0,0.0250385979698196,-0.674035450918419,0.724112646858059,1,"No","a","a"
"site_number","63","1",0,-0.0890641487073699,-0.788138197595609,0.610009900180869,1,"No","a","a"
"site_number","64","1",0,-0.37887808609792,-1.07795213498616,0.320195962790319,0.997945850306927,"No","a","a"
"site_number","65","1",0,-0.272283296556064,-0.971357345444303,0.426790752332174,0.999999957721273,"No","a","a"
"site_number","66","1",0,-0.275992521977882,-0.975066570866121,0.423081526910356,0.999999926808547,"No","a","a"
"site_number","67","1",0,-0.0787983263197584,-0.704069164167804,0.546472511528287,1,"No","a","a"
"site_number","68","1",0,-0.152134895443284,-0.851208944331523,0.546939153444955,1,"No","a","a"
"site_number","69","1",0,-0.0132636005017372,-0.712337649389976,0.685810448386502,1,"No","a","a"
"site_number","70","1",0,-0.0271025160283022,-0.726176564916541,0.671971532859937,1,"No","a","a"
"site_number","71","1",0,-0.0370048038409366,-0.736078852729176,0.662069245047302,1,"No","a","a"
"site_number","72","1",0,0.213817583400361,-0.485256465487878,0.9128916322886,1,"No","a","a"
"site_number","73","1",0,0.0385992987020471,-0.660474750186192,0.737673347590286,1,"No","a","a"
"site_number","74","1",0,-0.0119797790179987,-0.711053827906238,0.68709426987024,1,"No","a","a"
