"Group1","Group2","Diff","Lower","Upper","P.adj","Significant","Group1_CLD","Group2_CLD"
"Arroyo Beach","Aiston Preserve","0.120009323000004","-2.5576031144892","2.7976217604892","1","No","abc","abc"
"Blair Waterway","Aiston Preserve","0.221779764999994","-2.71139769953846","3.15495722953845","1","No","abc","abc"
"Blair Waterway Two","Aiston Preserve","0.126099314000002","-2.80707815053845","3.05927677853845","1","No","abc","abc"
"Brackenwood Lane","Aiston Preserve","-1.08698463400002","-4.02016209853847","1.84619283053843","0.999999994772846","No","abc","abc"
"Broad Spit","Aiston Preserve","-0.9278158555","-3.86099332003845","2.00536160903845","1","No","abc","abc"
"Browns Point Lighthouse","Aiston Preserve","0.844327991","-2.08884947353845","3.77750545553845","1","No","abc","abc"
"Cap Sante","Aiston Preserve","-0.245701902750004","-3.17887936728846","2.68747556178845","1","No","abc","abc"
"Chambers Bay Park","Aiston Preserve","0.759234636500011","-2.17394282803844","3.69241210103846","1","No","abc","abc"
"Cherry Point Aquatic Reserve, Conoco Phillips","Aiston Preserve","-0.000708118999999452","-2.93388558353845","2.93246934553845","1","No","abc","abc"
"Chimacum Creek delta","Aiston Preserve","-0.514685024499997","-3.44786248903845","2.41849244003845","1","No","abc","abc"
"Chuckanut, Clark's Point","Aiston Preserve","-0.605389865250002","-3.53856732978845","2.32778759928845","1","No","abc","abc"
"Commencement Bay Skookum","Aiston Preserve","0.660896598999998","-2.27228086553845","3.59407406353845","1","No","abc","abc"
"Commencement Bay, Dick Gilmur Launch","Aiston Preserve","-0.0580912857500019","-2.99126875028845","2.87508617878845","1","No","abc","abc"
"Commencement Bay, Milwaukee Waterway","Aiston Preserve","0.838984782200011","-1.94367168862577","3.62164125302579","1","No","ab","abc"
"Des Moines Marina","Aiston Preserve","1.01742375849999","-1.91575370603846","3.95060122303845","0.999999999725573","No","ab","abc"
"Discovery Bay","Aiston Preserve","-0.0713703392499977","-3.00454780378845","2.86180712528845","1","No","abc","abc"
"Donkey Creek Delta","Aiston Preserve","-0.128945099499998","-3.06212256403845","2.80423236503845","1","No","abc","abc"
"Eagle Harbor Dr","Aiston Preserve","-1.1134778395","-4.04665530403845","1.81969962503845","0.999999985424077","No","ac","abc"
"Eastsound, Fishing Bay","Aiston Preserve","-1.066810934","-3.99998839853845","1.86636653053845","0.999999997687572","No","abc","abc"
"Edmonds Ferry","Aiston Preserve","0.94592730850001","-1.98725015603844","3.87910477303846","1","No","ab","abc"
"Edmonds Marina","Aiston Preserve","1.18763135249999","-1.74554611203846","4.12080881703844","0.999999800750704","No","ab","abc"
"Eld Inlet","Aiston Preserve","0.730891319500005","-2.20228614503845","3.66406878403846","1","No","abc","abc"
"Elliot Bay Myrtle Edwards","Aiston Preserve","-0.631021886399985","-3.41367835722577","2.1516345844258","1","No","abc","abc"
"Elliott Bay, Harbor Island, Pier 17","Aiston Preserve","1.28613749125","-1.64703997328846","4.21931495578845","0.999996163624604","No","ab","abc"
"Everett Harbor","Aiston Preserve","0.578636432500001","-2.35454103203845","3.51181389703845","1","No","abc","abc"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Aiston Preserve","-0.297850035999996","-3.23102750053845","2.63532742853846","1","No","abc","abc"
"Filucy Bay","Aiston Preserve","1.51087785575001","-1.42229960878844","4.44405532028847","0.999435401014553","No","ab","abc"
"Friday Harbor","Aiston Preserve","0.518598879600003","-2.26405759122578","3.30125535042579","1","No","abc","abc"
"Gig Harbor Boat Launch","Aiston Preserve","-0.118240735250001","-3.05141819978845","2.81493672928845","1","No","abc","abc"
"Hood Canal Holly","Aiston Preserve","-1.79269063433334","-4.47030307182254","0.884921803155855","0.898185535015301","No","c","abc"
"Jamestown","Aiston Preserve","-0.259533557666663","-2.93714599515586","2.41807887982254","1","No","abc","abc"
"Kingston Marina","Aiston Preserve","0.428089612499999","-2.50508785203845","3.36126707703845","1","No","abc","abc"
"Kitsap St Boat Launch","Aiston Preserve","-0.782776130750004","-3.71595359528846","2.15040133378845","1","No","abc","abc"
"Kopachuck State Park","Aiston Preserve","0.757020765249997","-2.17615669928845","3.69019822978845","1","No","abc","abc"
"Lions Park","Aiston Preserve","0.642997891499998","-2.29017957303845","3.57617535603845","1","No","abc","abc"
"Locust Beach","Aiston Preserve","-0.675257661500004","-3.60843512603846","2.25791980303845","1","No","abc","abc"
"Madrona Pont","Aiston Preserve","0.788293308499998","-2.14488415603845","3.72147077303845","1","No","abc","abc"
"Manchester, Stormwater Outfall","Aiston Preserve","0.792729573499996","-2.14044789103846","3.72590703803845","1","No","abc","abc"
"Maple Hollow Park","Aiston Preserve","0.913478005500001","-2.01969945903845","3.84665547003845","1","No","ab","abc"
"Maristone Island","Aiston Preserve","0.0110682621666673","-2.66654417532253","2.68868069965587","1","No","abc","abc"
"Meyer's Point, Henderson Inlet","Aiston Preserve","-0.84565945775","-3.77883692228845","2.08751800678845","1","No","abc","abc"
"Miller Creek","Aiston Preserve","1.82598831425","-1.10718915028845","4.75916577878845","0.965527573099484","No","b","abc"
