"analyte","p.value","correlation"
"ci_wet_shell_weight",0,1
"ci_pollution",0.415278292328858,-0.096116821279075
"shell_thickness",3.19434323280779e-06,-0.51154920050074
"a1",0.490165144117543,-0.0814697432752221
"a2",0.399710628420349,-0.0993453986348282
"a3",0.343917627572373,-0.111578448615801
"a4",0.335920357123964,-0.113429697099605
"a5",0.590030832933419,-0.0636533278670977
"a6",0.276094150120508,-0.128269304945773
"a7",0.30308898632351,-0.121338230622413
"a8",0.33706468436863,-0.113163117317937
"a9",0.380022374479519,-0.103536625202159
"a10",0.357156376238429,-0.108572021078105
"a11",0.341859082669685,-0.112052368227655
"a12",0.323804782621213,-0.116288024758597
"a13",0.266152852859417,-0.13093510276245
"a14",0.323804782621213,-0.116288024758597
"a15",0.123994586556199,-0.180415272237549
"a16",0.207886387015543,-0.148114688692146
"a17",0.323804782621213,-0.116288024758597
"a18",0.323804782621213,-0.116288024758597
"a19",0.30308898632351,-0.121338230622413
"a20",0.380022374479519,-0.103536625202159
"a21",0.865931389540557,0.0199638636493364
"a22",0.774601621593905,0.0338556322717974
"a23",0.332186694244879,-0.11430348638396
"a24",0.480324714755903,0.0833209917590255
"a25",0.645289467007509,0.0543970854480805
"a26",0.62248880678615,0.0581736323550395
"a27",0.933528634814776,-0.00986345192170477
"a28",0.698074878037539,-0.0458517224468438
"a29",0.504359051538796,-0.078833565434286
"a30",0.819188372502881,-0.0270282278635303
"a31",0.336110908134024,-0.113385267135994
"a32",0.387882097222939,-0.10184828658493
"a33",0.734222640263288,-0.0401350671288587
"a34",0.397947584792464,-0.0997156483315889
"a35",0.311184720390414,-0.119338882259905
"a36",0.268889802241952,-0.130194603368929
"a37",0.150656816369169,0.168745001795652
"a38",0.594024369397069,-0.0629720684250581
"a39",0.270320465758077,-0.129809543684298
"a40",0.77863610823647,-0.0332336127812395
"a41",0.332186694244879,-0.11430348638396
"a42",0.353276670531856,-0.10944581036246
"a43",0.350335181703794,-0.110112259816629
"a44",0.335222252624377,-0.11359260696618
"a45",0.33275453301042,-0.114170196493126
"a46",0.350335181703794,-0.110112259816629
"a47",0.269494460634401,-0.130031693502354
"a48",0.353276670531856,-0.10944581036246
"a49",0.281043426646472,-0.126966026013176
"a50",0.0324617957225668,0.248926276126147
"a51",0.0325044173511507,0.248867036174665
"a52",0.126620107421145,0.179186043244303
"a53",0.927953769098095,-0.0106928112424487
"a54",0.69029333998256,-0.0470957614279597
"a55",0.925963570330244,0.0109890109998573
"a56",0.613200782368923,-0.0597286810814344
"a57",0.0613654361753867,0.21856580099177
"a58",0.440767967304219,-0.0909777554880366
"a59",0.353276670531856,-0.10944581036246
"a60",0.787590281909227,0.0318562839092897
"a61",0.799378250170474,-0.0300494653890976
"a62",0.804998278079349,-0.0291904860926128
"a63",0.323804782621213,-0.116288024758597
"a64",0.681163273539371,-0.048561950227132
"a65",0.353866797627963,-0.109312520471626
"a66",0.353276670531856,-0.10944581036246
"a67",0.353866797627963,-0.109312520471626
"a68",0.273919445122154,-0.12884689447272
"a69",0.549185159593738,-0.0707473120570325
"a70",0.342565835264357,-0.11188945836108
"a71",0.311184720390414,-0.119338882259905
"a72",0.340640481070243,-0.112333757997193
"a73",0.317577043629798,-0.117783833533511
"a74",0.139424328224169,-0.173454577938448
"a75",0.342951721849209,-0.111800598433858
"a76",0.939305966163517,-0.00900447262521997
"a77",0.336047383565737,0.113400077123864
"a78",0.794058289162001,0.0308640147219711
"a80",0.117176484343122,-0.183703089544784
"a81",0.0748326189970631,-0.208361719349046
"a82",0.614171001422292,-0.0595657712148597
"a83",0.675560257708342,-0.0494653594872281
"a84",0.538506270904837,-0.0726429905044473
"a85",0.733844918407717,-0.0401943070803404
"a86",0.785662288131718,-0.0321524836666983
"a87",0.603272617151328,-0.0614022097107927
"a88",0.299122470957629,-0.122330499809732
"a89",0.727621672827409,-0.0411717662797887
"a90",0.305831993579066,-0.120656971180373
"a91",0.80393164306977,-0.0293533959591875
"a92",0.0322599824793878,-0.249207665895685
"a93",0.836273362697285,-0.0244364799862055
"a94",0.777867180571203,0.0333520926842029
"a95",0.581477393505108,-0.06511951666627
"a96",0.513965220151256,-0.0770711768777051
"a97",0.674093507427775,-0.049702319293155
"a98",0.812766197909659,0.0280056870629785
"a99",0.0542342731399145,0.224726755945868
"a100",0.90698175330765,0.0138177186831089
"a101",0.497315431804839,-0.0801368443668836
"a102",0.630229500140012,-0.0568851634103123
"a103",0.513640817257541,-0.0771304168291868
"a104",0.677854469375567,0.0490951097904674
"a105",0.384975195906232,0.102470306075488
"a106",0.940501676567261,-0.00882675277077484
"a107",0.842736986463335,-0.0234590207867573
"a108",0.574949890657021,-0.0662450757444226
"a109",0.800733889243464,-0.0298421255589116
"a110",0.325980958842987,0.115769675183132
"a111",0.991806688360287,0.00121441900537506
"a112",0.788651222733634,-0.031693374042715
